,label,tweet_id,tweet_text
127,other_useful_information,'592869795831402496',"Report describing levels of #NepalQuake destruction in Tibet, from a Chinese online paper http://t.co/ojk29YA9mF"
130,other_useful_information,'593774892597796864',Thanks for tuning in! We'll be right back with updates on  the #NepalEarthquake
132,other_useful_information,'592673231385055233',"""The Nepal Government will take serious legal action against the black market people and people spreading rumors"" #NapalEarthquake"
139,other_useful_information,'592697288771895296',India has become saviour for other countries earlier #operationraahat n now #OperationMaitri #Salute n #RIP souls died in #NepalEarthquake
140,other_useful_information,'592089733410455553',"RT @678resilient: Earthquake jolts Nepal, India and Bangladesh, Nepal appears to be affected adversely needs help from other countries."
144,other_useful_information,'593148846080798721',"RT @BDUTT: Nepal and India connected in some many ways -culture, faith, history. But most moving- the fearless service of the Gorkhas in ouÂ"
146,other_useful_information,'593812727438651394',"RT @esa: New #Sentinel1 image of #NepalEarthquake ground displacement. Blue = uplift, yellow = subsidence https://t.co/uyH3SAzTZJ"
148,other_useful_information,'592638136833867778',"@SrBachchan Embassy of India Kathmandu Control Room Numbers :- +977 - 012081148, 012081141 9818968752 9818968780."
155,other_useful_information,'593693482092523520',RT @MrPKSahoo: AAP must be happy with #NepalEarthquake coz it diverted media's attention from #AAPRallyMurder in no time.  #AAPKilledFarmer
158,other_useful_information,'591960470283771904',"#NepalEarthquake greatest earthquake in the region in Oct 2005 that 70,000 people in India and Pakistan read report http://t.co/ZCATUbbAUM"
168,other_useful_information,'593501207051669504',Do you await the Awaited One? #GoharShahi #Nepal #NepalEarthquake #HELPNEPAL #earthquake #EndTimesSigns #MountEverest
179,other_useful_information,'592744122366205952',After seeing all the absolutely devastating photos &amp; videos coming out of Nepal I just can't help but shake my... http://t.co/3RgK1p0CgP
186,other_useful_information,'593163087370326016',The Earth shook in Nepal and the resulting destruction has been massive @RldUp http://t.co/P5dZ0ynu06
194,other_useful_information,'592344738361028608',RT @AP: BREAKING: #USGS says Kathmandu region hit by magnitude 6.7 aftershock
197,other_useful_information,'592305919997779970',Everytime a disaster strikes. The shop - keepers exponentially hike price of their goods. Water selling at Rs.100/ bottle ##NepalQuake
199,other_useful_information,'593313970380869632',"RT @Ajit_Doval: {?}- #NarendraModi's Political Career Was Built :: On The ReBuilding , Of His Home State Of Gujarat :: After A 2001 #EarthQÂ"
201,other_useful_information,'593461551253704704',Quake Aftermath Widens Nepal's Political Divisions: The earthquake that jolted Nepal last week also sent shock... http://t.co/dpwjC4Tw07
204,other_useful_information,'592747318186741761',RT @darpans: To facilitate transportation of relatives of those affected in #NepalEarthquake Northern Railway has made certain arrangementsÂ
207,other_useful_information,'593666659157680128',"Mos ishte denim prej Zotit! In Two Days, 250,000 Animals are Violently Slaughtered in Nepal Just to Please a Goddess. http://t.co/RxqEqFSvb2"
210,other_useful_information,'593771424143147008',LIVE footage of earthquake in Kathmandu https://t.co/aZ5lccor4V via @YouTube You should definitely see this!!! #LiteralGoosebumps :( :(
212,other_useful_information,'593492818884206593',"@dinosofos @MichaelPDeacon Torygraph:HSBC scandal suppression, CCHQ propaganda letters displacing Nepal tragedy on front page. Discredited."
220,other_useful_information,'593359014001422336',Tensions Rise in Nepal after ÂWeakÂ Response to DeadlyÂ Quake http://t.co/TzW6qVav82
223,other_useful_information,'593789957275131904',RT @bainjal: Has the RSS forgotten that Nepal is a sovereign country? Why protest #Pakistan sent beef on it's behalf? If Nepal has a probleÂ
225,other_useful_information,'593091355083169792',#ukip supporters probably in hiding after #NepalEarthquake Since basically they are voting for a party that wants to reduce foreign aid ?D
230,other_useful_information,'593245959481643008',"Earthquakes are soooo funny! Nepal quake reveals our Âmean girlÂ social media avatars Sitting in a cab in Mumbai, Â http://t.co/jQGM0IAd6o"
238,other_useful_information,'592282360319647745',Perth families desperate for Nepal news (The West Australian) http://t.co/6uL7KD5mrm #news
244,other_useful_information,'593193057937403904',RT @DeLormeGPS: Listen to #Everest updates as @ClimberJim talks with @CNN from base camp &amp;gt;&amp;gt; http://t.co/QyMsqgRnyT #NepalEarthquake
252,other_useful_information,'593183767101059072',Nepal Declares 3 Days of Mourning for Quake Victims http://t.co/KEaVkHo2jp
256,other_useful_information,'592344660321935361',"RT @SalilShetty: #Amnesty staff, Board, families now confirmed safe. But #NepalQuake impact is ""terrifying"" say friends In Kathmandu. @AmneÂ"
257,other_useful_information,'592779160344465410',"RT @rks196: @PMOlndia Due to shortage of hotels&amp;food in Nepal no,. of journalists,photographers etc shld be restricted in Nepal,Govt shld cÂ"
259,other_useful_information,'593183152316747776',Dear Photographers: Please DonÂt Get On A Plane To Nepal http://t.co/ZSZVTr9HFD #photography #arts
275,other_useful_information,'593828292584742912',RT @a_campolina: Great to see our @ActionAid international and Nepalese teams working tirelessly with local movements in our response in #NÂ
280,other_useful_information,'592344732866490368',"RT @ShujaRabbani: Fortunately, my friends' parents are safe after the #NepalEarthquake but very shaken. Hope #Nepal gets all the assistanceÂ"
284,other_useful_information,'593824046111830017',"2 #IAF MLHs positioned at Pokahra.  Helicopter sorties scheduled for Lukla, Dhading, Millanchi and Gorkha today #NepalEarthquake"
286,other_useful_information,'592209718015209472',"RT @sharan070192: Bloody Vatican douchebags rejoicing as disasters ""opens window"" to carry their mission #NepalEarthquake #SoulVultures httÂ"
289,other_useful_information,'591937360478232576',"RAW FOOTAGE Powerfull Earthquake 7.9 M in Kathmandu, NEPAL  http://t.co/uIheRBgduL"
294,other_useful_information,'600202543348617216',"RT @narendramodi: From Raxaul, Bihar, which is on the India-Nepal border my colleague @dpradhanbjp is co-ordinating relief work to help affÂ"
300,other_useful_information,'592934073615548417',Because this #Nepal hasn't had to deal with another. Hopefully the storm brings with it water but not destruction https://t.co/tNiRY8Odny
305,other_useful_information,'592336789873950720',"RT @AnupKaphle: Some people in Kathmandu literally spent their night out in streets, laying carpets on streetsides. #Nepal http://t.co/fDoaÂ"
306,other_useful_information,'592332880078077952',Earth-Quake in Nepal............... http://t.co/3xWAkAudIM
312,other_useful_information,'592278369909125120',"Powerful earthquake, strong aftershocks hit Nepal http://t.co/baq4YHjDdX"
317,other_useful_information,'591908818050805760',"Nepal earthquake triggers Everest avalanche, climbers at risk - The Times of India http://t.co/4jLUdYSzD4"
321,other_useful_information,'592667253818171394',Any lessons from #Ebola on the ratio of helpful:overwhelming and coordinated:fragmented in tech approaches to #humanitarian relief? #Nepal
327,other_useful_information,'591918620533362688',CRAZY I was just thinkin about going to Nepal and they have a massive earthquake...
342,other_useful_information,'593412565537001472',Just one BBC News FB post on #NepalQuake from last weekend - NB The page has 450k fans in Nepal and 2million in India http://t.co/cm1jdFM7Z9
344,other_useful_information,'593795185257091072',"""Quick access and useful data is what @humdata was designed for, and itÂs unprecedented in the humanitarian world."" http://t.co/uZ9vsYSDwW"
345,other_useful_information,'592250646662774784',"RT @InfoMumbai: A famous nepalese tagline ""? ??? ??? ???? ??? ????? ????"" I'll die but my country will shine all over ?A  #NepalEarthquake #Â"
352,other_useful_information,'592696532148822016',"RT @nytimes: An earthquake with an estimated magnitude of 7.9 shook Nepal on Saturday near its capital, Katmandu http://t.co/n9euzNAeOk"
364,other_useful_information,'592236218349326337',6.7 magnitude aftershock registered in the Kathmandu Region of Nepal. Largest aftershock recorded since Saturday's earthquake @NBCNews
377,other_useful_information,'591911607992717312',FT: Powerful earthquake hits Kathmandu http://t.co/16HaL6h9S7
379,other_useful_information,'592339157877325825',RT @UNOCHA: (2/2) Heavy equipment for rubble removal; Helicopters for transport and access to blocked areas #NepalQuake http://t.co/pKZGpDDÂ
385,other_useful_information,'592344610938191872',RT @saikatd: For generations the brave Gorkhas have defended India. India goes all out to pay back that debt. #NepalEarthquake
389,other_useful_information,'592085430696288256',Good design helps Japan with earthquakes #nepal http://t.co/KZUz04dAVh
399,other_useful_information,'592259008527904769',RT @globalhlthtwit: Astonishing. BBC Marr discuss Nepal in terms of risks to Everest climbers and heritage. No mention of Nepalis.
404,other_useful_information,'592287664788807680',RT @kan_rebel: @ExSecular @YesIamSaffron   Another #SoulVultures   #NepalEarthquake  https://t.co/cYXFAe58U9
415,other_useful_information,'592320294724874242',RT @teleworldin: #NepalEarthquake #Sewaa From #GurudwaraAmritsar Sahib &amp; Others #Langar &amp; Materials ?F?F?3 @KapilSharmaK9 @MikaSingh http://t.Â
416,other_useful_information,'593093645978497024',RT @GuilsboroughGeo: Nepal on 'war footing' as quarter of population hit by quake http://t.co/HlxChJqdbK
435,other_useful_information,'592257866796560384',New #Earthquake mb 4.5 NEPAL: Magnitude   mb 4.5 Region   NEPAL Date time   2015-04-26 08:46:15.7 UTC Location... http://t.co/ezivkrMieW
440,other_useful_information,'592343803979124737',"RT @BBCBreaking: Aftershock in Kathmandu region measured 6.7 magnitude, US Geological Survey says http://t.co/xoixJwvUcW"
445,other_useful_information,'592159826433552384',RT @IndianSanskriti: What WILLING &amp; ABLE Government + People can do! #Nepal #NepalEarthquake #NepalQuake #NepalQuakeRelief @narendramodi htÂ
449,other_useful_information,'593822120003547136',RT @pratyasharath: Beef Masala mus b relief material for the minority communities in Nepal. Sanghis wont let minorities eat in Nepal too. #Â
452,other_useful_information,'592256527152484352',RT @Raheelk: For everyone in Nepal.  https://t.co/54YPD0W9WG
453,other_useful_information,'591995695919333376',Wow. That was one big earthquake in Nepal. :/
460,other_useful_information,'593143389715099648',RT @KirkDBorne: Visualizing the #NepalEarthquake - The Human Side of #DataScience: http://t.co/VcUE20cqfi #abdsc #BigData #DataViz http://tÂ
465,other_useful_information,'592986411826946048',RT @raggedtag: If you have a problem with India helping Nepal for whatever reasons - you are a douche. No actually  the douche is still useÂ
467,other_useful_information,'593818357171933185',RT @AP: The latest on Nepal earthquake: Dozens arrested for looting and spreading rumors about impending big quake http://t.co/pllrMZOXrT
471,other_useful_information,'592894982903754752',"RT @Ajit_Doval: {?}- There Is NoBody , Helping People In The Villages :: People Are Dying , Where They Are- ??? #ABGurung {#NepaleseSoldierÂ"
473,other_useful_information,'592155361701953537',http://t.co/abbtrs8RTk I AM STREAMING THE EMERGENCY COMMUNICATIONS FROM NEPAL.. http://t.co/mWNaOH1aCc
481,other_useful_information,'593827744737153024',"RT @RSS_Org: When Nepal was groaning in earthquake, Christian Missionaries were shamelessly selling Jesus http://t.co/GGWIur6rOh"
492,other_useful_information,'593823854641872896',RT @rahulkanwal: Here's the story. Pakistan sends beef masala as aid to quake hit Nepal! https://t.co/zjRGV6IpMY @mail_today
494,other_useful_information,'592688954543046656',RT @rahulkanwal: Wi-fi services back on after 72 hours. Grocery stores too opening now. Kathmandu begins to put the pieces together. #himalÂ
499,other_useful_information,'592343076431011840',"RT @AmbPeterBodde: A 58-member search/rescue team from Fairfax County arrives 4/27 w/our DART, a helicopter, medical assistance #WeStandwitÂ"
500,other_useful_information,'592617823161167872',RT @Dave_Steinbach: Something to reflect on over the next few days at #CBA9 - how can we link DRR and CBA in the wake of the #NepalEarthquaÂ
510,other_useful_information,'593425888580100097',RT @SalvArmyIHQ: Damaris Frick @SalvArmyIHQ taking part in #NepalEarthquake health cluster meeting in Kathmandu http://t.co/cUL57Z3L5o httpÂ
522,other_useful_information,'592343665844051968',RT @RedCrossAU: Watch on @CNN - #RedCross discusses rescue efforts in Nepal: http://t.co/zspG1IEsqi #nepalearthquake @ICRC @Federation @nepÂ
525,other_useful_information,'592912742010343424',"RT @firstpost: Nepal earthquake moves Kathmandu 10 feet south but Everest height unchanged, say experts http://t.co/n9hZBKjx8f http://t.co/Â"
533,other_useful_information,'592592445650640896',4/25/2015 -- 7.8 magnitude earthquake in Nepal (India / China) -- Earthquake unrest obvious http://t.co/3oUAqPKuN3
536,other_useful_information,'593169678249435136',RT @BBCtrending: Fake quakes: The false rumours spreading online about #NepalQuake http://t.co/hznFp1rhly http://t.co/BSWafWuhVM
537,other_useful_information,'593824607095771139',"RT @SpokespersonMoD: #NepalEarthquake Landing on uneven ground by IAF's MI 17 V5 at Simpani, near Pokhara. http://t.co/J73vUyKBVX"
538,other_useful_information,'593158065672749056',"RT @CNN: Power is out in much of the region, but many are sharing scenes &amp; stories from inside Nepal: http://t.co/JP7yrMLiE2 http://t.co/wwÂ"
540,other_useful_information,'592374679874207745',RT @ResNetSH: New blog post: Local Nepal Earthquake Appeal -Video blog http://t.co/Ufdxkhhe7c
543,other_useful_information,'593377856434089984',"RT @gmeiks: With everything else happening in Nepal, the Kathmandu Post is still covering other world news, including #Baltimore. http://t.Â"
544,other_useful_information,'593800034946154496',RT @sanpokh: Nepal is learning a lesson: large scale disasters also come with challenges to national security and sovereignty.+
545,other_useful_information,'593459058289549314',Can i just say we are so caught up in whats happening in Baltimore we are failing to recognize whats happening in Nepal.
546,other_useful_information,'593541643594248194',RT @whiskyandtartan: Appropriate that @shotofscotchnyc will be at #ScotchForACause tonight to benefit @GirlsGlasgow sisters in #Nepal ! httÂ
547,other_useful_information,'591924882964754432',"RT @TheHindu: The #NepalEarthquake has triggered aftershocks Kolkata, North India and landslides in Sikkim http://t.co/nT4AhD0JIk http://t.Â"
549,other_useful_information,'593059476648787968',RT @ndtv: On board an Indian Air Force chopper mission in earthquake-hit Nepal http://t.co/nYVPRc8hx8 #NepalEarthquake http://t.co/kJKkm5kcÂ
551,other_useful_information,'592759520130105344',RT @rayyykneee: Prolly only 5 people knows about Nepal's earthquake in my school.Smh. They're on Twitter 24/7 but they ignore it cuz it's nÂ
552,other_useful_information,'592929450431504384',This Nepal earthquake is horrible. ?3
554,other_useful_information,'592930444246536195',RT @NepalDRR: Find the latest #NepalQuake Situation Report here: http://t.co/u7r2i01AiS
561,other_useful_information,'593322344073953280',"If you think Israel's Nepal aid is ""hasbara,"" you're missing a critical fact about Israel: it doesn't care about you https://t.co/b6S3Ozb4DG"
566,other_useful_information,'592735133184163840',"To #Kathmandu and back: ÂEven now when I stand up, it feels as though the earth is movingÂ. http://t.co/MBybCWve5o #NepalQuake"
568,other_useful_information,'592897979700420608',RT @RichardBarrow: Passengers on TG319 flight to Kathmandu arrived back at 1am. They will attempt again at 9:15am - TR @thapanee3miti http:Â
571,other_useful_information,'592874066094202880',VIDEO: Thousands sleep on Nepal streets
572,other_useful_information,'592950888714661888',The #NepalEarthquake and #RiotsInBaltimore are #publichealth #emergencies.
574,other_useful_information,'600101493753171969',"RT @OCHAAsiaPac: #NepalQuake Infographic: The numbers you need to know (26 April, 7:00pm) - http://t.co/NR6LOSAcHS http://t.co/QRLDSo20fo"
579,other_useful_information,'591977887642746880',RT @ooosh_ooosh: Where is Nepal's Prime Minister???? Anybody knows?
580,other_useful_information,'591906739529781249',"RT @NewIndianXpress: Key Facts About Nepal, Site of Magnitude-7.9 Quake http://t.co/IWcHevEQvb"
581,other_useful_information,'593166761815453696',"RT @dipankar140: Nepal's tragedy has united the world, while Middle East wars are dividing the world."
587,other_useful_information,'592133076655812608',RT @ahmadesseily: Even the biggest monutain on earth got angry! #NepalQuake
589,other_useful_information,'593355409450278912',Watch @oxfamgb spokesperson Lisa Rutherford with the latest on the humanitarian situation in #Nepal http://t.co/5pX8OwBdQw
591,other_useful_information,'591909208620142592',MORE: Nepal quake is the worst temblor to hit the poor South Asian nation in over 80 years: http://t.co/trPMxzumXB Via @ap
595,other_useful_information,'593252016534593536',"Explained: How safe are the 3,400 highrises in Delhi, Mumbai? | http://t.co/MChE0VXMoh #NepalEarthquake http://t.co/9qnp9rBCNz"
597,other_useful_information,'591909936205987841',"After Nepal Earthquake, PM Narendra Modi Calls Emergency Meet: 10 Developments: http://t.co/tGy1ChVxTX"
609,other_useful_information,'593331668200476672',The Latest on Nepal: Protesters complain no aid reached them http://t.co/Q655vEXFa1 Free tool online http://t.co/J90dT28MyB
610,other_useful_information,'593696939276832769',"After Nepal Earthquake, Amitabh Bachchan Writes About His First Trip to the Country: Amitabh Bachchan later shot for films like Khuda..."
611,other_useful_information,'593146928491180034',5 very informative maps of NepalÂs earthquake http://t.co/hH3Mu9SmVR
614,other_useful_information,'592623219825373184',UPDATE: Statement from ABTA following the change in travel advice to Nepal.... http://t.co/cNH0j1RiWi
618,other_useful_information,'592344551316070400',RT @SuwalPratistha: 1 RT WILL MEAN ALOT PLEASE DON'T IGNORE ? ?F #NEPAL http://t.co/jyBET8psgO
621,other_useful_information,'591936685945987072',"Pls Share : Earthquake helpline at the Indian Embassy in Kathmandu-+977 98511 07021, +977 98511 35141"
622,other_useful_information,'592691969077444608',RT @JigmeUgen: #SHAME: Open spaces in #Nepal limited &amp; cramped but #HyattRegency still exclusive for rich &amp; westerners #NepalQuake http://tÂ
624,other_useful_information,'593818380273979392',The key to Nepal's economy is ... water - http://t.co/di5A372aMW
628,other_useful_information,'591932139727294464',"RT @earthquakeinfo: Earthquake - M 5.0 - 15km NNE of Nagarkot, Nepal http://t.co/qzsQSs6hvV"
630,other_useful_information,'592679813770543105',RT @rajeevk1949: @_RandhirSingh_ @DrGPradhan @upma23 2/2 event of an earthquake there They fear if they go to Nepal they will be branded asÂ
633,other_useful_information,'592734527899963392',RT @BJPLucknowBJP: Top questions the world is asking about the #NepalEarthquake on #Google http://t.co/9HAw3BugC8
637,other_useful_information,'592343944609935361',RT @WSJ: There have been 31 aftershocks in Nepal since Saturday's earthquake. More numbers here: http://t.co/sA0PBAjxMk http://t.co/UUX1WbpÂ
639,other_useful_information,'592780271847608325',today's Monday Mishmash is focused on something more important -- #Nepal http://t.co/Yp2Z0QAQcC
645,other_useful_information,'593106657317629954',"FastCompany: RT harrymccracken: A first-person report from Nepal by sandoNET, who's in Kathmandu. Â http://t.co/8We2HTjLsb"
646,other_useful_information,'592130690633707520',".@AnupKaphle also send me an email, im coordinating with someone from @TimesNow in Delhi and can pass on.  https://t.co/hJNVihhnx2"
649,other_useful_information,'593324598315192320',World Â Riot police intervene as anger erupts among Nepal quake survivors http://t.co/cXOO3EHkCx
656,other_useful_information,'593106004859949056',Nepal Earthquake: BBC crew travels to quake epicentre - BBC News http://t.co/jCx5msJcsh | https://t.co/gXrStQ7GrN http://t.co/6UQRn9EnCV
664,other_useful_information,'593102231106416640',The Power of Business in Emergencies - Online Briefing on the Nepal Earthquake http://t.co/fG3YZBRAND
680,other_useful_information,'592243483051601922',RT @ChannelNewsAsia: .@teocheehean with Singapore's Ghurka contingent this morning for #NepalEarthquake briefing http://t.co/HqwCTWIKy6 httÂ
692,other_useful_information,'591939373530152960',"RT @ibnlive: #NepalQuake: Kathmandu airport is now open; Was closed following massive earthquake: Deep Kumar Upadhyay, Nepal's ambassador tÂ"
707,other_useful_information,'592697996090933249',ÂNepal earthquake: Health &amp; safety concerns top priorityÂ http://t.co/1iGU1bgLnp The current priority for aid groups working in Nepal is Â
715,other_useful_information,'591933323275939840',"ÂAfter massive 7.9 earthquake, commercial flights to Kathmandu put on hold http://t.co/0hfJ0ms9a7 http://t.co/gyvohqJp9wÂ"
717,other_useful_information,'592309003260022785',RT @paulocoelho: Updates on Nepal Earthquake |&gt; @PCoelho_Nepal
720,other_useful_information,'592873478719668224',Did you know Seismographs near Charlotte were able to detect vibrations from #NepalEarthquake? More at 10:14. http://t.co/loDCEp4my2
722,other_useful_information,'593832036919414784',"RT @abhijitmajumder: Nepal PM Sushil Koirala and intelligence chief have been apprised of Pakistan sending beef as quake relief, an internaÂ"
723,other_useful_information,'592602156898721792',RT @Lara_Miller: 130 KM from Kathmandu coming from #Pokhara. Road is 100% clear. Lots if devastation in villages tho. #NepalEarthquake
733,other_useful_information,'593739709458681856',RT @UNWomenAust: 3.2 million women &amp; children are affected. Support UN WomenÂs relief efforts in #Nepal. https://t.co/73od9Urfs7 http://t.cÂ
739,other_useful_information,'591946639281008641',"RT @msnindia: RT @BT_India: SpiceJet says full refund, re-scheduling for #Kathmandu flights #earthquake http://t.co/QTTab4hLN2"
741,other_useful_information,'592634249838080000',Nepal is not the big one: Next Himalayan earthquake maybe closer to homeÂ http://t.co/SRD3x3wJGp #News http://t.co/cEdCUgmTxS
744,other_useful_information,'592689836856844288',RT @GlobalBC: 5 facts about the #Nepal earthquake http://t.co/RqVBnOUdHY
745,other_useful_information,'592354364389392384',RT @JantaKaReporter: Private and govt schools in UP to remain closed on 27th &amp; 28th April as a precautionary measure for earthquakes. #NepaÂ
751,other_useful_information,'591973543249899521',RT @worksonmypc: Still getting details on the #NepalEarthquake about the location and safety of my team.
756,other_useful_information,'593832933967925248',RT @ReachOutWW: UPDATE FROM THE FIELD: Our team has landed in Nepal and secured a location for base camp in a town outside of... http://t.cÂ
758,other_useful_information,'593187759491313665',RT @USEmbassyNepal: Here's a list of NGOs Responding to #NepalEarthquake http://t.co/FT3ctjpxT4 via @CIDIoutreach #WeStandwithNepal http://Â
760,other_useful_information,'593465858816659457',RT @PzFeed: Nepal Earthquake Victim Drank Own Urine to Survive 82 Hours in Rubble.  VIDEO: http://t.co/JDdIxUinki
764,other_useful_information,'592321947624550400',RT @snobers: #NepalÂs UNESCO heritage landmarks before &amp; After #NepalEarthquake 1. Maju Deval 2. Dharahara Tower #Kathmandu #quake http://tÂ
767,other_useful_information,'593792288683204609',@suman99644 @B_imger still manyshops are closed in many places.its not authentic.just a rumor only.ntc is most profit bearing Nepal.
785,other_useful_information,'598015394490757120',"RT @firstpost: Hum pal, pal, Nepal ke saath hai: Amul's new advert tugs at your heartstrings http://t.co/55fQpva2B2 http://t.co/V0rHzwrk6Y"
787,other_useful_information,'592129796890570752',"RT @NrnShrestha: Mainstream news r covering mostly Kathmandu, badly needed updates from rural villages #NepalEarthquake"
788,other_useful_information,'591913922443218944',"RT @eBama: Keep in Mind,No One Is More Powerful Than Mother Nature #NepalEarthquake  #earthquake  Stay safe #Nepal http://t.co/D5Ko8kMuWa"
789,other_useful_information,'592172794198130688',RT @pakhead: Leaving for Kathmandu on TG319 now. So looks like airport is open for normal flights for the moment.
793,other_useful_information,'592911368203935745',"RT @vijaita: Reporting from Kathmandu, the clock says it all.....earthquake struck at 11.58 am local time @IndianExpress http://t.co/JDw7keÂ"
795,other_useful_information,'592120113328889856',Nepal earthquake: Super jets Globemaster and Super Hercules prove their worth in gold: India inducted the expe... http://t.co/sk36TQQQuL
800,other_useful_information,'592698449352613889',"RT @EFFCharity: PLEASE RT... Children are in danger following the #Nepal earthquake, please support @Unicef_UK to provide urgent help http:Â"
805,other_useful_information,'592335179298910209',"RT @Thekkapoor: T 945 - @juniorbachchan @SrBachchan sir. Once again guys, here are the contact numbers for Nepal, #RT #earthquake http://t.Â"
807,other_useful_information,'593109872637513728',RT @drsanjaygupta: good morning from #kathmandu --- long lines waiting for gas. #nepalquake @cnn http://t.co/xN6jEWCfUX
813,other_useful_information,'592338583471661056',RT @Keisar_: Two types of vultures out on the prowl in the wake of #NepalEarthQuake  1. Indian Journalists. 2. Christian Missionaries. CautÂ
821,other_useful_information,'591932532054044672',RT @PranavKulkarni: One IAF C130 J with NDRF personnel takes off to Kathmandu from Hindon airbase @IndianExpress (photo: Lockheed Martin) hÂ
822,other_useful_information,'593157244180631552',"RT @UNOCHA: Latest information, materials, facts and figures on the #NepalQuake in one place: http://t.co/Ho4ohrgcwB http://t.co/6aS6PhZ6TI"
823,other_useful_information,'591996932353953792',"RT @AnupKaphle: All schools and educational institutions shall remain closed for five days in all affected districts, Information Minister Â"
824,other_useful_information,'592334948654157825',"Hatesup to Indian Airforce. We are  proud of our defence forces whether it is ground military , airforce or navy. https://t.co/FqTkmDp5Q1"
828,other_useful_information,'592926986256969728',"@Sampada_KC Hi Sampada, check the link following regarding this&gt; http://t.co/075h6Rq5yV. (1 of 1)"
832,other_useful_information,'592127612530593793',RT @Ruptly: EMERCOM prepares for mission to #NepalEarthquake zone http://t.co/KUMsSEm2oO
833,other_useful_information,'593658541350621184',"DNA Nepal finds hero in doctor who carried on operation during earthquake: Ram Prasad Sapkota, the doctor from... http://t.co/DIGOOmwSxx"
834,other_useful_information,'593760241919074304',RT @OCHAAsiaPac: #NepalQuake: Aftershocks continue to pose a threat. #Earthquake-affected areas could be at risk to landslides. http://t.coÂ
836,other_useful_information,'591975137227870211',RT @swaroopvaidya78: MOS Kirren Rijiju says Prime Minister is Personally Monitoring from d Top on #Nepal Relief Operations &amp; taking Min2MinÂ
860,other_useful_information,'592109590625558529',"Hi @acharya_saugat, we detected a M5.6 earthquake at 23:16 UTC (19m, 8s ago) in Kirtipur, Nepal. Did you feel it?"
